A11_grad_r,B11_grad_r,dx
-11.20849255582634,4.6317121047432295,1.5
-4.24826740591584,3.4438365835213958,2.0
-1.6859343828691493,2.7279272597674833,2.5
-0.6825288513265484,2.2497998216130384,3.0
-0.2824236086998013,1.9119917684145449,3.5
-0.14377215075977645,1.6546027495219384,4.0
-0.1169184999652586,1.4496517374280522,4.5
-0.13787581398775828,1.2800560088004183,5.0
-0.17698933890097424,1.1361780420102932,5.5
-0.22137161607721834,1.0109063732108723,6.0
-0.26489986392425957,0.8995389749610148,6.5
-0.3047205593561817,0.7988744093048439,7.0
-0.3395881245525385,0.7066794546865491,7.5
-0.36905043869289234,0.6213688897313592,8.0
